City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Hardy,50.6996,-127.4199,44.6,87,90,17.27,CA,1612061895
Buraidah,26.326,43.975,42.8,81,0,7.2,SA,1612061895
Tanga,-5.0667,39.1,77.36,81,65,14.58,TZ,1612061895
Bowen,-20.0167,148.2333,84.2,70,75,19.57,AU,1612061895
Ouadda,8.0777,22.4007,69.13,23,71,6.96,CF,1612061895
Bilma,18.6853,12.9164,57.13,32,0,4.23,NE,1612061647
Hellvik,59.9156,5.781,30.99,89,77,1.99,NO,1612061896
Yakeshi,49.2833,120.7333,-10.03,88,100,4.76,CN,1612061896
Trelleborg,55.3751,13.1569,32.0,93,90,8.05,SE,1612061896
Joaçaba,-27.1781,-51.5047,66.33,90,0,3.0,BR,1612061896
Mil'kovo,54.7167,158.6167,12.09,94,100,8.63,RU,1612061896
Thinadhoo,0.5333,72.9333,81.86,77,12,12.41,MV,1612061896
Nishihara,26.1842,127.7558,68.0,34,20,14.97,JP,1612061896
Torrelavega,43.3494,-4.0479,55.0,71,98,14.0,ES,1612061896
Rock Sound,24.9,-76.2,70.45,65,91,17.87,BS,1612061896
Steinbach am Taunus,50.1667,8.5667,32.0,86,40,11.5,DE,1612061896
Powell River,49.8496,-124.5361,44.6,87,75,12.66,CA,1612061897
Río Cuarto,-33.1307,-64.3499,59.0,98,81,8.01,AR,1612061897
Beidao,34.5686,105.8933,32.0,58,66,1.21,CN,1612061897
Ukiah,39.1502,-123.2078,53.6,54,40,9.22,US,1612061897
Chissamba,-12.1667,17.3333,61.23,89,97,4.61,AO,1612061897
Lastoursville,-0.8143,12.7287,71.53,93,100,1.86,GA,1612061897
Riyadh,24.6877,46.7219,50.0,53,0,3.44,SA,1612061618
Praia da Vitória,38.7333,-27.0667,64.4,88,75,13.56,PT,1612061662
Sayyan,15.1718,44.3244,44.17,54,0,3.22,YE,1612061897
Xinzhou,38.4092,112.7333,39.2,54,0,10.67,CN,1612061897
Maţāy,28.419,30.7792,45.46,56,0,3.51,EG,1612061898
Chaozhou,23.6651,116.6379,62.6,63,0,4.47,CN,1612061898
Batemans Bay,-35.7167,150.1833,69.01,77,98,1.99,AU,1612061898
Caçapava do Sul,-30.5122,-53.4914,68.95,100,100,8.99,BR,1612061898
Bucerías,20.75,-105.3333,71.6,83,1,3.44,MX,1612061898
Isangel,-19.55,169.2667,84.2,74,75,11.5,VU,1612061898
Praia,14.9215,-23.5087,73.4,53,0,17.27,CV,1612061898
Lethem,3.3803,-59.7968,78.66,74,63,11.83,GY,1612061898
Odiongan,12.4017,121.9919,78.96,75,100,21.07,PH,1612061898
Vila Velha,-20.3297,-40.2925,78.8,78,40,6.91,BR,1612061899
Naze,28.3667,129.4833,62.6,51,75,6.91,JP,1612061899
Lincoln,40.8,-96.667,32.0,80,90,28.77,US,1612061725
Salalah,17.0151,54.0924,66.2,72,40,3.44,OM,1612061899
Marawi,7.9986,124.2928,81.0,83,34,8.99,PH,1612061899
Deputatsky,69.3,139.9,-24.59,89,100,1.99,RU,1612061899
Tandil,-37.3217,-59.1332,50.88,82,79,8.5,AR,1612061621
Abéché,13.8292,20.8324,67.78,22,0,13.91,TD,1612061899
Pemba,-12.974,40.5178,77.0,94,40,6.91,MZ,1612061899
Aras,42.5617,-2.356,46.99,76,75,14.97,ES,1612061899
Tura,25.5198,90.2201,64.69,34,0,1.34,IN,1612061900
Miraflores,19.2167,-98.8083,68.0,32,1,8.05,MX,1612061900
Porto-Novo,6.4965,2.6036,82.4,83,40,9.22,BJ,1612061900
Korla,41.7597,86.1469,23.11,81,0,5.01,CN,1612061900
Ibrā’,22.6906,58.5334,55.18,51,0,2.77,OM,1612061900
Mehamn,71.0357,27.8492,26.6,80,0,14.97,NO,1612061900
Najrān,17.4924,44.1277,57.2,30,0,4.61,SA,1612061900
Miracema do Tocantins,-9.5618,-48.3967,73.58,90,100,1.66,BR,1612061900
Raudeberg,61.9875,5.1352,32.0,100,100,6.91,NO,1612061901
Irituia,-1.7711,-47.4381,73.22,97,100,2.08,BR,1612061901
Jaisalmer,26.9147,70.9181,61.16,23,0,6.78,IN,1612061901
Ryōtsu-minato,38.0833,138.4333,37.4,65,40,20.71,JP,1612061901
Keskin,39.6731,33.6136,37.0,93,98,3.27,TR,1612061901
Portland,45.5234,-122.6762,46.99,87,90,9.22,US,1612061377
Bima,-8.4667,118.7167,86.81,64,100,2.84,ID,1612061776
Woodward,36.4337,-99.3904,41.0,80,1,14.97,US,1612061902
Dakar,14.6937,-17.4441,69.8,64,0,11.5,SN,1612061902
Henties Bay,-22.116,14.2845,66.99,84,50,4.0,NA,1612061668
Tacuarembó,-31.7333,-55.9833,66.13,95,100,4.34,UY,1612061902
Ligayan,4.6533,119.4706,80.29,79,100,12.1,PH,1612061902
Jiuquan,39.7432,98.5174,26.11,77,0,2.71,CN,1612061902
Porto de Moz,-1.7483,-52.2383,73.36,98,6,3.06,BR,1612061902
Port Pirie,-33.1833,138.0167,71.6,60,61,16.11,AU,1612061902
Buncrana,55.1333,-7.45,34.27,85,100,12.71,IE,1612061903
Ahipara,-35.1667,173.1667,68.99,57,13,5.75,NZ,1612061637
Samarai,-10.6167,150.6667,85.87,72,100,15.99,PG,1612061621
Leningradskiy,69.3833,178.4167,-27.18,82,0,4.61,RU,1612061903
São João da Barra,-21.6403,-41.0511,77.13,81,2,20.76,BR,1612061740
Barra do Garças,-15.89,-52.2567,73.92,85,82,0.34,BR,1612061903
Ellisras,-23.6649,27.7443,70.07,86,30,5.26,ZA,1612061903
Arlit,18.7369,7.3853,57.85,29,9,3.51,NE,1612061903
Tokur,53.1333,132.9,-24.92,86,93,4.07,RU,1612061903
College,64.8569,-147.8028,-4.0,77,90,0.6,US,1612061904
Āzādshahr,34.7909,48.5707,28.2,83,99,10.92,IR,1612061904
Hilton Head,32.2163,-80.7526,53.6,82,75,4.61,US,1612061639
Cabatuan,10.8794,122.486,80.78,73,91,17.72,PH,1612061904
Pirgos,35.1167,25.7178,51.8,66,20,9.22,GR,1612061904
Juba,4.8517,31.5825,72.37,24,0,2.86,SS,1612061904
Noumea,-22.2763,166.4572,82.0,73,90,16.11,NC,1612061904
Kidal,18.4411,1.4078,62.42,26,12,9.04,ML,1612061904
Pakxan,18.3778,103.6601,80.01,46,1,3.67,LA,1612061904
Zyryanka,65.75,150.85,-26.82,84,100,17.34,RU,1612061905
Anchorage,61.2181,-149.9003,21.2,53,20,3.44,US,1612061732
Mongomo,1.6274,11.3135,68.2,97,100,2.24,GQ,1612061905
Moose Factory,51.2585,-80.6094,-11.2,92,1,4.61,CA,1612061905
Villasanta,45.608,9.3104,41.0,100,75,2.3,IT,1612061905
Gibara,21.1097,-76.1317,69.8,73,0,13.8,CU,1612061905
Santiago del Estero,-27.7951,-64.2615,70.92,75,99,12.77,AR,1612061905
Tāndā,26.55,82.65,52.18,53,0,3.78,IN,1612061905
Andenes,69.3143,16.1194,24.01,73,100,2.3,NO,1612061905
Creel,27.75,-107.6333,40.64,70,11,3.58,MX,1612061905
Sivas Province,39.7916,37.0019,28.4,93,75,14.97,TR,1612061906
Llandrindod Wells,52.2416,-3.3787,32.0,98,82,1.01,GB,1612061906
Doha,25.2867,51.5333,64.4,59,0,13.8,QA,1612061906
Acaraú,-2.8856,-40.12,78.53,85,100,10.92,BR,1612061906
Smithers,54.7804,-127.1743,19.4,86,90,2.3,CA,1612061606
Olafsvik,64.8945,-23.7142,22.5,89,27,15.77,IS,1612061906
São Filipe,14.8961,-24.4956,74.39,60,100,11.07,CV,1612061906
Caxias,38.7031,-9.2767,59.0,94,75,10.36,PT,1612061906
Maningrida,-12.0667,134.2667,90.63,59,21,9.31,AU,1612061906
Kamen'-Rybolov,44.7481,132.0403,-4.14,87,1,4.83,RU,1612061907
Atar,20.5169,-13.0499,64.67,25,65,7.94,MR,1612061907
Rumphi,-11.0186,33.8575,63.32,87,100,1.66,MW,1612061907
Morón,-34.6534,-58.6198,63.0,90,100,5.01,AR,1612061907
Tegul'det,57.3064,88.1667,-27.24,84,3,6.08,RU,1612061907
Sechura,-5.5569,-80.8222,77.58,62,52,14.79,PE,1612061907
Emerald,-23.5333,148.1667,91.4,38,40,8.05,AU,1612061907
Zliten,32.4674,14.5687,62.71,37,34,13.58,LY,1612061907
Soyo,-6.1349,12.3689,79.41,86,100,8.14,AO,1612061908
Mareeba,-17.0,145.4333,93.99,58,97,12.66,AU,1612061908
Darfo,45.8779,10.1812,39.99,92,100,1.01,IT,1612061908
Dudinka,69.4058,86.1778,-35.7,78,0,7.63,RU,1612061836
Alto Araguaia,-17.3147,-53.2153,70.72,89,100,4.41,BR,1612061908
Mossamedes,-15.1961,12.1522,72.79,75,97,5.08,AO,1612061908
Yangi Marg`ilon,40.4272,71.7189,32.0,55,100,9.22,UZ,1612061908
Padang,-0.9492,100.3543,82.78,66,69,3.56,ID,1612061646
Lucapa,-8.4192,20.7447,64.49,98,99,2.89,AO,1612061908
Ciudad Bolivar,8.1222,-63.5497,77.2,78,20,12.59,VE,1612061908
Sinnamary,5.3833,-52.95,77.63,85,100,14.54,GF,1612061909
Werda,-25.2667,23.2833,76.21,67,100,5.08,BW,1612061909
Kijini,-5.85,39.3167,79.41,84,79,14.99,TZ,1612061909
Urdoma,61.7533,48.5442,20.17,96,100,10.16,RU,1612061909
Nhulunbuy,-12.2333,136.7667,87.8,62,40,12.66,AU,1612061718
Luyang,27.6239,110.0989,47.21,91,99,2.21,CN,1612061909
San Policarpo,12.1791,125.5072,80.8,74,100,19.71,PH,1612061652
Gizo Government Station,-8.103,156.8419,86.52,69,60,20.85,SB,1612061909
Makat,47.6469,53.3463,24.1,96,95,10.8,KZ,1612061910
Linxia Chengguanzhen,35.6003,103.2064,28.69,75,99,2.98,CN,1612061910
Yankton,42.8711,-97.3973,28.4,93,90,12.66,US,1612061910
Ndélé,8.4109,20.6473,71.49,22,7,8.28,CF,1612061740
Kokopo,-4.352,152.2633,82.51,71,100,11.83,PG,1612061910
Taltal,-25.4,-70.4833,65.37,75,4,6.64,CL,1612061668
Yining,29.0361,114.5636,54.64,64,78,1.12,CN,1612061910
Flinders,-34.5833,150.8552,68.0,95,96,3.0,AU,1612061910
Kem',64.9555,34.5793,15.37,97,100,4.36,RU,1612061910
Ţalkhā,31.0539,31.3779,52.16,47,0,10.69,EG,1612061910
Hearst,49.6835,-83.6665,-2.2,78,2,4.61,CA,1612061911
Saint Anthony,45.0205,-93.218,32.0,86,90,6.91,US,1612061852
Kapoeta,4.7717,33.5903,80.42,33,0,14.45,SS,1612061911
Kropotkin,45.4375,40.5756,35.89,84,100,5.53,RU,1612061911
Vila Franca do Campo,37.7167,-25.4333,63.0,94,75,12.66,PT,1612061911
Balabac,7.9868,117.0645,82.13,74,61,22.73,PH,1612061911
Tigre,-34.426,-58.5796,62.6,82,0,11.5,AR,1612061891
Seguin,29.5688,-97.9647,66.2,68,1,4.61,US,1612061911
Chichli,22.8333,78.8167,57.49,32,0,2.91,IN,1612061911
Yautepec,18.8819,-99.0671,75.0,32,1,8.05,MX,1612061828
Touros,-5.1989,-35.4608,77.0,88,20,3.44,BR,1612061911
Azángaro,-14.9167,-70.2167,43.77,86,100,4.07,PE,1612061912
Trofors,65.5333,13.4063,23.0,86,90,1.14,NO,1612061912
Kiunga,-6.1219,141.2906,87.35,70,53,2.33,PG,1612061912
Paamiut,61.994,-49.6678,25.16,89,29,15.08,GL,1612061912
Port Blair,11.6667,92.75,82.9,69,19,12.06,IN,1612061912
Worland,44.0169,-107.9554,33.8,75,90,4.61,US,1612061627
Kaitangata,-46.2817,169.8464,61.0,74,100,8.01,NZ,1612061912
Konstantinovskiy,57.8301,39.5899,24.8,86,90,6.71,RU,1612061912
Parrita,9.5201,-84.3225,69.8,73,20,19.57,CR,1612061912
Buala,-8.145,159.5921,85.86,69,85,15.68,SB,1612061913
Bandarbeyla,9.4942,50.8122,73.4,71,96,15.12,SO,1612061913
Manokwari,-0.8667,134.0833,79.03,84,100,14.97,ID,1612061913
Iralaya,15.0,-83.2333,76.75,84,94,12.91,HN,1612061913
Agirish,61.9247,63.0231,-6.9,92,100,1.95,RU,1612061913
San Andrés,12.5847,-81.7006,80.6,74,20,16.11,CO,1612061913
Wembley,-31.9333,115.8,93.99,25,0,9.22,AU,1612061913
Zhmerynka,49.037,28.112,26.01,78,89,11.79,UA,1612061913
Tromsø,69.6496,18.957,21.99,92,99,2.3,NO,1612061913
Naryan-Mar,67.6713,53.087,1.22,93,100,11.21,RU,1612061913
Amga,60.8953,131.9608,-32.57,79,100,2.89,RU,1612061913
Nantucket,41.2835,-70.0995,19.99,49,1,16.11,US,1612061758
Carbonia,39.1672,8.5222,53.6,82,40,4.61,IT,1612061914
Yaan,7.3833,8.5667,69.71,70,2,4.68,NG,1612061615
Jiamusi,46.8333,130.35,-6.56,84,0,5.68,CN,1612061914
Barra de Tecoanapa,16.5167,-98.75,76.19,81,62,3.89,MX,1612061914
Panguna,-6.3164,155.4848,80.85,67,99,6.71,PG,1612061914
Ulladulla,-35.35,150.4667,69.01,94,90,8.05,AU,1612061914
Cap-aux-Meules,47.3821,-61.8597,26.6,80,100,18.41,CA,1612061914
Lander,42.833,-108.7307,33.8,40,90,5.37,US,1612061849
